Feature,F_Score,P_Value,Log_P_Value
Position_Knees_Encoded,1019.434754237807,1.3784317628440053e-212,10.0
Sex_Numeric,57.64103160074076,3.442396951132275e-14,9.999850524326215
Heart_Disease,53.428137492023346,2.8986970424346975e-13,9.998742932919146
Sex_x_BMI,51.71249952547542,6.91035754486426e-13,9.997009191766669
Sex_x_BioAge,47.98511492100152,4.573335395956737e-12,9.980579039815506
Residence_Level,38.08980512213818,7.032261677375082e-10,9.095162151395664
BMI_x_BioAge,37.38552109836414,1.0075561864971796e-09,8.955634232719587
Log_Biological_Age,33.946117211641415,5.850235386275991e-09,8.225465853609476
BioAge_x_Comorbidity,33.13807136963522,8.850354755307038e-09,8.048159750693149
Comorbidity_Count,31.234143382243243,2.350208915797373e-08,7.6270495534018
Comorbidity_Risk_Score,31.234143382237153,2.350208915804718e-08,7.6270495534004485
Residence_x_BMI,30.696133984387483,3.098156877110644e-08,7.507497069297093
BioAge_60_Plus,29.50903650035066,5.7030777046159406e-08,7.243129868980511
Biological_Age,29.396846360639962,6.041877675336242e-08,7.2181098588153025
Biological_Age_Squared,24.2911487229536,8.421793604130253e-07,6.074543841322656
Hypertension,19.630708504896294,9.499921923411088e-06,5.022275392478997
Biological_Age_Cubed,19.134672911167524,1.231106259143777e-05,4.909700932998399
Marital_Level,12.35832048794387,0.00044107105934475634,3.355491338836691
Has_Multiple_Comorbidities,11.804810530449187,0.0005933058185571,3.226721319311512
BioAge_Over_67,10.597107035905735,0.0011366127729455098,2.944387429570946
Metabolic_Risk_Score,10.216911682394567,0.0013961407098316966,2.8550707780961204
MET_x_BioAge,9.968389212669694,0.0015974878143747155,2.7965624187659475
Education_Level,9.081913383477213,0.002588303400031084,2.586984800391033
MET_x_BMI,5.60797086944909,0.017898853240604667,1.7471747904613941
Log_BMI,4.911485554190805,0.02670228354465504,1.5734515951200083
BMI,4.877654385678567,0.02723034655227391,1.5649468298972216
BMI_Squared,4.41321681011999,0.035687809402090376,1.4474801079801747
BioAge_70_Plus,3.969812049989433,0.046351500863498894,1.3339361978817137
BMI_Category,3.668024174377739,0.05549588312397541,1.255739232362432
MET,2.898572744566935,0.08869072468656285,1.05212179600411
High_Metabolic_Risk,1.7107350639142405,0.19092166515453818,0.7191447862914269
Dyslipidemia,0.5543735494299414,0.4565545616368327,0.3405073135398565
BMI_Obese,0.4729891531855737,0.4916320081673844,0.30835984962331797
Cancer,0.33018090387534704,0.5655661866643001,0.24751656339193953
Education_x_BioAge,0.32078487294949387,0.5711497214266202,0.2432500306167192
Diabetes,0.08287075651683282,0.7734503760236096,0.11156754501184135
Smoke_x_Drink,,,
Smoke_x_BMI,,,
