Feature,Cluster
Biological_Age,1
Biological Age,1
BioAge_70_Plus,1
BioAge_Over_67,1
Biological_Age_Squared,1
Biological_Age_Cubed,1
Log_Biological_Age,1
BioAge_60_Plus,1
BMI_x_BioAge,1
Diabetes,2
doctor_diagnose_dyslipidemia,2
Heart_Disease,2
Dyslipidemia,2
Hypertension,2
doctor_diagnose_heart_disease,2
doctor_diagnose_hypertension,2
Comorbidity_Count,2
Has_Multiple_Comorbidities,2
Metabolic_Risk_Score,2
High_Metabolic_Risk,2
BMI_x_Comorbidity,2
Age_x_Comorbidity,2
Comorbidity_Risk_Score,2
doctor_diagnose_diabetes,2
Log_BMI,3
BMI_Obese,3
BMI_Category,3
BMI_Squared,3
BMI,3
bmi_kg.m2,3
Cancer,4
doctor_diagnose_cancer,4
Sex_Numeric,5
wave,5
drink,5
iyear,5
smoke,5
MET,5
Smoking_Encoded,5
Drinking_Encoded,5
Lifestyle_Risk,5
Smoke_x_Drink,5
High_Risk_Lifestyle,5
