Feature,F_Score,p_value
Heart_Disease,133.77161833450273,7.8736730046529795e-31
doctor_diagnose_heart_disease,133.77161833450273,7.8736730046529795e-31
Sex_Numeric,118.34475871061476,1.773588620713569e-27
BioAge_60_Plus,104.40934963808775,1.91820088129337e-24
Age_x_Comorbidity,92.9225094216129,6.142522316567436e-22
BMI_x_Comorbidity,79.47410782810586,5.342989025425236e-19
Comorbidity_Count,73.41197420943298,1.13589749714368e-17
Comorbidity_Risk_Score,73.4119742094032,1.1358974971607573e-17
wave,57.87816710399392,2.925486668578277e-14
iyear,54.37952029607285,1.7243161254092583e-13
BMI_x_BioAge,50.711468091388745,1.1102044138911138e-12
BioAge_Over_67,46.35808926665307,1.0160089117441964e-11
Has_Multiple_Comorbidities,41.12776160911069,1.4613717648257944e-10
Biological_Age_Squared,40.06957113962382,2.508568047714433e-10
Biological_Age,39.69890959672026,3.031514785583575e-10
Biological Age,39.69890959672026,3.031514785583575e-10
Hypertension,39.39259339741003,3.54513138434383e-10
doctor_diagnose_hypertension,39.39259339741003,3.54513138434383e-10
Biological_Age_Cubed,38.48276457126807,5.644229418161171e-10
Log_Biological_Age,37.49164615651256,9.370438569547202e-10
Metabolic_Risk_Score,28.82359165358556,8.02595367620372e-08
BioAge_70_Plus,24.5993713287246,7.121615827754303e-07
MET,14.794609510717217,0.00012028979131543699
BMI_Category,12.898041958215057,0.0003297997639501935
High_Metabolic_Risk,7.168608086003924,0.00742574381789326
BMI_Squared,4.991495089542907,0.0254843906688567
BMI,4.596001066354359,0.03205994661197296
bmi_kg.m2,4.596001066354359,0.03205994661197296
Log_BMI,3.561944972537422,0.05913446620890282
BMI_Obese,2.4532312803194087,0.11730074820973975
Diabetes,2.0083784838292327,0.1564497047500184
doctor_diagnose_diabetes,2.0083784838292327,0.1564497047500184
doctor_diagnose_dyslipidemia,1.305253375632622,0.2532710183336588
Dyslipidemia,1.305253375632622,0.2532710183336588
Cancer,0.32097899941399366,0.571026941923482
doctor_diagnose_cancer,0.32097899941399366,0.571026941923482
smoke,,
drink,,
Smoking_Encoded,,
Drinking_Encoded,,
Smoke_x_Drink,,
Lifestyle_Risk,,
High_Risk_Lifestyle,,
