Method,Seed,Features,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall
Raw_Features,42,17,0.6767422246056725,0.5286085615542261,0.42168674698795183,0.7074792243767313,0.5895865237366003,0.32821824381926684
Raw_Features,123,17,0.6643564456879432,0.5046437267382763,0.43496577145866244,0.7027700831024931,0.568870523415978,0.35208866155157714
Raw_Features,999,17,0.6553774031423063,0.4989291275710299,0.41173333333333334,0.6944598337950139,0.5498575498575499,0.3290707587382779
All_Engineered,42,38,0.6660448590062062,0.5246177153506301,0.40226628895184136,0.7077562326869806,0.5996621621621622,0.30264279624893436
All_Engineered,123,38,0.6574472967720923,0.5063936010674608,0.40264026402640263,0.6991689750692521,0.5674418604651162,0.31202046035805625
All_Engineered,999,38,0.6496525748084465,0.4941685988010488,0.40110192837465564,0.6988919667590028,0.5669781931464174,0.3103154305200341
ANOVA_Top15,42,15,0.6452227855513938,0.49833235123492253,0.41517170681701693,0.6839335180055401,0.5205655526992288,0.3452685421994885
ANOVA_Top15,123,15,0.6427035462451738,0.48536023086917396,0.42696629213483145,0.689196675900277,0.532484076433121,0.35635123614663256
ANOVA_Top15,999,15,0.6397610229619314,0.4719893290976147,0.42402826855123676,0.6839335180055401,0.5198019801980198,0.35805626598465473
Hierarchical_5,42,5,0.5161063051471683,0.3391869867516167,0.26944140197152244,0.6304709141274238,0.3767228177641654,0.20971867007672634
Hierarchical_5,123,5,0.5181046602866227,0.33768695087325307,0.26515151515151514,0.6238227146814405,0.362962962962963,0.20886615515771526
Hierarchical_5,999,5,0.5398483384004974,0.3554261626453355,0.2830188679245283,0.6421052631578947,0.40540540540540543,0.21739130434782608
TreeBased_Top15,42,15,0.6560709242038326,0.5081726411662736,0.4094401756311745,0.7019390581717452,0.5747303543913713,0.31798806479113384
TreeBased_Top15,123,15,0.6511317948884787,0.49112821289481495,0.42105263157894735,0.7013850415512466,0.5689404934687954,0.33418584825234443
TreeBased_Top15,999,15,0.634928239373036,0.4752718458852876,0.39740820734341253,0.6908587257617729,0.5419734904270986,0.3137254901960784
MutualInfo_Top15,42,15,0.649013101163821,0.49204846277469927,0.40757808499743986,0.6795013850415512,0.5102564102564102,0.3393009377664109
MutualInfo_Top15,123,15,0.6535870168659424,0.506314533514179,0.4297082228116711,0.7022160664819944,0.5688202247191011,0.3452685421994885
MutualInfo_Top15,999,15,0.6451409273277383,0.4777441563158309,0.4185089974293059,0.6867036011080332,0.5272020725388601,0.34697357203751067
L1_LASSO,42,1,0.48824250043990064,0.3271598034028899,0.258203335126412,0.618005540166205,0.3498542274052478,0.20460358056265984
L1_LASSO,123,1,0.5224608121245323,0.3419630842431868,0.2864583333333333,0.6204986149584487,0.36813922356091033,0.23444160272804773
L1_LASSO,999,1,0.5145585200592876,0.34170283081420555,0.27467811158798283,0.6254847645429363,0.3704775687409551,0.21824381926683717
