Feature,Type,Missing_Count,Missing_Pct,Inf_Count,Mean,Std,Min,Q25,Median,Q75,Max,Skewness,Kurtosis,Unique_Count,Unique_Pct,Outlier_Count,Outlier_Pct,Extreme_Outlier_Count,Extreme_Outlier_Pct,Pearson_Corr,Pearson_P,Spearman_Corr,Spearman_P,Mean_Target0,Mean_Target1,Mean_Diff,Cohens_d,T_Statistic,T_P_Value,Quality_Score,Issues,Issue_Count
OA_Chronic_Disease_Load,float64,0,0.0,0,0.1071076499627399,0.1750831202254993,0.0,0.0,0.0,0.24163427154813957,1.082830128893364,1.6782740923642956,2.5703308814707766,3212,17.79895821788762,356,1.9727363404632607,295,1.6347112933614096,0.0756406266134293,2.5616652535782965e-24,0.07861475297333938,3.834745109104886e-26,0.09792072461524809,0.12619758881801757,0.02827686420276948,0.16196490138973701,-10.18984326278996,2.5616652535780437e-24,100,NONE,0
OA_Biomechanical_Stress,float64,0,0.0,0,1.1498286216051223,0.3194860516375439,0.4236614174947917,0.8937848504034344,1.1059915526949664,1.3406772756051515,3.7590137683245093,0.9081781785686245,1.7241227900225669,13817,76.56544386567661,238,1.3188518231186968,154,0.8533747090768037,0.09152451355426904,7.069924282464327e-35,0.08706124517818868,1.044864918647954e-31,1.1295443170230206,1.1919783201764589,0.06243400315343828,0.19623835394967407,-12.346119753232788,7.069924282468797e-35,100,NONE,0
OA_Multi_System_Degradation,float64,0,0.0,0,0.071222215203728,0.11880003130639488,0.0,0.0,0.0,0.14896414173390574,1.1102906797731082,1.936006981106706,4.479220095975443,4550,25.2133436772692,563,3.1198049429236394,335,1.8563670619527874,0.07441264480899583,1.3853625017012685e-23,0.07691481870534882,4.318191043501759e-25,0.0650897641936711,0.08396511997185409,0.018875355778182987,0.15932073267647,-10.023488305160525,1.385362501701263e-23,100,NONE,0
OA_Age_Gender_Interaction,float64,0,0.0,0,0.9445747809209426,0.9685388765566569,0.0,0.0,0.7272698159307233,1.9330741723851166,3.1495825036959735,0.19134695997939463,-1.7758306762807141,5092,28.21677934168237,0,0.0,0,0.0,0.08989144169183576,1.0655926454031109e-33,0.09309783981411392,4.945358911933479e-36,0.8841790564529874,1.07007386179986,0.18589480534687253,0.1927080877569234,-12.124016944070213,1.0655926454031155e-33,100,NONE,0
OA_Gender_Risk,float64,0,0.0,0,1.705474897484207,0.7229215946685766,1.0,1.0,1.5,2.5,2.5,0.14382705971126894,-1.9157636310322181,3,0.016624182644353322,0,0.0,0,0.0,0.08442395103135189,6.567309612762057e-30,0.08443051339939314,6.50101796219802e-30,1.6631371583353853,1.7934504519870373,0.130313293651652,0.18090006694603572,-11.381128329604726,6.567309612761925e-30,90,Low diversity (0.0% unique),1
OA_Systemic_Burden,float64,0,0.0,0,0.061174221434112816,0.10602759989490544,0.0,0.0,0.0,0.1,0.65,1.9358434425259832,3.531930690831138,11,0.060955336362628836,1574,8.722154494070708,308,1.7067494181536074,0.0762052303164591,1.1681161943545344e-24,0.07682925975443443,4.871062644932591e-25,0.05556923582040548,0.07282108135766673,0.017251845537261244,0.1631808899770245,-10.266345848398668,1.1681161943544073e-24,90,Low diversity (0.1% unique),1
OA_CV_Risk_Cluster,float64,0,0.0,0,0.12198455798145479,0.19825354181135424,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.3960890446543517,0.8827385732295849,3,0.016624182644353322,0,0.0,0,0.0,0.08025706993314859,3.5163019003921575e-27,0.07823253860487091,6.639934458596397e-26,0.11094694793291197,0.14492012052987663,0.033973172596964654,0.1719120538135659,-10.815657393649385,3.516301900392599e-27,90,Low diversity (0.0% unique),1
OA_Inflammatory_Score,float64,0,0.0,0,0.07317965200044331,0.12019056439176959,0.0,0.0,0.0,0.15,0.65,1.711139676882697,2.5702734820149313,11,0.060955336362628836,308,1.7067494181536074,236,1.3077690346891278,0.07545772697241866,3.299580549579432e-24,0.07732407134177409,2.422316660109198e-25,0.06688828695723549,0.08625277161862527,0.019364484661389778,0.16157102351198557,-10.165062872879185,3.299580549579921e-24,90,Low diversity (0.1% unique),1
OA_Sedentary_Load,float64,0,0.0,0,0.16415771606336094,0.36465762791773676,0.0,0.0,0.0,0.0,2.2059401134210144,1.9087808889316815,2.095734766307923,2519,13.958772027042004,3158,17.49972293028926,184,1.0196165355203368,0.00373788615868032,0.615599003405273,0.0010157002478378937,0.8914773399902596,0.1632121711457771,0.1661225077623076,0.0029103366165305067,0.007980845817245875,-0.5021061184253689,0.6155990034052524,85,Weak target correlation,1
OA_Joint_Stress_Index,float64,0,0.0,0,1.2691005067925643,0.7621183959334559,0.46585184486966,0.885133923716903,0.9247289764371961,1.1080367127599688,6.8469388653593874,1.8747186987759414,2.3960369462088114,12784,70.84118364180428,3231,17.904244707968527,163,0.9032472570098636,0.0017847439640454855,0.8105334674659533,0.005202461108653315,0.4846576416374128,1.268156947582261,1.2710611722981289,0.0029042247158679313,0.0038106269097439196,-0.23974139207282924,0.8105334674659604,85,Weak target correlation,1
