Configuration,Description,Group,Num_Features,Seed,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall
Baseline_Raw,Raw features only (17),Baseline,17,42,0.6815452733697358,0.532267129385137,0.42903930131004364,0.7102493074792243,0.5963581183611533,0.3350383631713555
Baseline_Raw,Raw features only (17),Baseline,17,123,0.6625001180647457,0.4986587205575449,0.4364207221350079,0.7016620498614958,0.5650406504065041,0.3554987212276215
Baseline_Raw,Raw features only (17),Baseline,17,999,0.6537496838488478,0.49342189377492524,0.4309978768577495,0.7030470914127424,0.5710267229254571,0.34612105711849955
Raw_Plus_Top3_Strong,Raw + Top 3 strong,Strong_Incremental,20,42,0.6823587831949964,0.5346242365759223,0.43416757344940154,0.7119113573407202,0.6,0.340153452685422
Raw_Plus_Top3_Strong,Raw + Top 3 strong,Strong_Incremental,20,123,0.6638509536657966,0.5072891635099305,0.42849604221635884,0.7,0.5623268698060941,0.34612105711849955
Raw_Plus_Top3_Strong,Raw + Top 3 strong,Strong_Incremental,20,999,0.6515762430643521,0.4905609542619821,0.41455696202531644,0.6925207756232687,0.5435684647302904,0.3350383631713555
Raw_Plus_Top5_Strong,Raw + Top 5 strong,Strong_Incremental,22,42,0.6785927801746379,0.5248952847191708,0.4311827956989247,0.7069252077562327,0.5836972343522562,0.34185848252344414
Raw_Plus_Top5_Strong,Raw + Top 5 strong,Strong_Incremental,22,123,0.6641587965581764,0.5015722705621178,0.4248813916710596,0.6977839335180055,0.5566298342541437,0.3435635123614663
Raw_Plus_Top5_Strong,Raw + Top 5 strong,Strong_Incremental,22,999,0.6519578982866094,0.48783090004878304,0.41944004226096143,0.695567867036011,0.5513888888888889,0.33844842284739984
Raw_Plus_All8_Strong,Raw + All 8 strong,Strong_Full,25,42,0.6745770046256891,0.5240968282934682,0.42493224932249324,0.7060941828254848,0.5833333333333334,0.33418584825234443
Raw_Plus_All8_Strong,Raw + All 8 strong,Strong_Full,25,123,0.6626047146838611,0.5080418911244994,0.4309799789251844,0.7008310249307479,0.5641379310344827,0.34867860187553285
Raw_Plus_All8_Strong,Raw + All 8 strong,Strong_Full,25,999,0.6473754119585069,0.4860446090918903,0.4103103629668595,0.6894736842105263,0.5357142857142857,0.33248081841432225
Raw_Plus_All8_Weak,Raw + All 8 weak (control),Weak_Control,25,42,0.6747557633961507,0.5200131446242889,0.40829694323144106,0.6997229916897507,0.56752655538695,0.3188405797101449
Raw_Plus_All8_Weak,Raw + All 8 weak (control),Weak_Control,25,123,0.6608870912729689,0.5003933317866451,0.4080980287693127,0.6922437673130194,0.5440340909090909,0.32651321398124467
Raw_Plus_All8_Weak,Raw + All 8 weak (control),Weak_Control,25,999,0.6521410298254287,0.484211195231277,0.40515851692638366,0.6933518005540166,0.5479651162790697,0.3213981244671782
Raw_Plus_OA_Age_Gender_Interaction,Raw + OA_Age_Gender_Interaction only,Individual_Strong,18,42,0.6809252148166183,0.5309928850692867,0.42734122712594186,0.7052631578947368,0.5795620437956205,0.33844842284739984
Raw_Plus_OA_Age_Gender_Interaction,Raw + OA_Age_Gender_Interaction only,Individual_Strong,18,123,0.6639854600204785,0.5005039233030412,0.43126967471143757,0.6997229916897507,0.5607094133697135,0.35038363171355497
Raw_Plus_OA_Age_Gender_Interaction,Raw + OA_Age_Gender_Interaction only,Individual_Strong,18,999,0.649122070551294,0.49089779070122835,0.42366613840464873,0.6977839335180055,0.5569444444444445,0.34185848252344414
Raw_Plus_OA_Biomechanical_Stress,Raw + OA_Biomechanical_Stress only,Individual_Strong,18,42,0.6795754286799732,0.5294547546164738,0.42958129418162044,0.7094182825484765,0.5930930930930931,0.33674339300937767
