config,fold,n_features,roc_auc,pr_auc,f1,accuracy,precision,recall,brier
1_Baseline_Raw,1,18,0.6506618097453964,0.48438372683199027,0.42170542635658914,0.6900277008310249,0.5354330708661418,0.34782608695652173,0.21226691493916866
1_Baseline_Raw,2,18,0.6756466015256827,0.5217212541353826,0.4350132625994695,0.7049044056525353,0.5750350631136045,0.34982935153583616,0.20294362633098956
1_Baseline_Raw,3,18,0.658352426541333,0.4879530721529407,0.42066805845511485,0.6924355777223608,0.5416666666666666,0.3438566552901024,0.21005183268076635
1_Baseline_Raw,4,18,0.6709924099574862,0.5180240297054381,0.45265348595213317,0.7085065114990302,0.5807743658210948,0.37084398976982097,0.20418099023952643
1_Baseline_Raw,5,18,0.6650185061530859,0.5072404527245188,0.4388975559022361,0.7010252147409255,0.5626666666666666,0.3597612958226769,0.20634530426373254
1_Baseline_Raw,6,18,0.664116817981943,0.5039640992569233,0.43877019280875457,0.7016620498614958,0.564343163538874,0.3589087809036658,0.20649357127163429
1_Baseline_Raw,7,18,0.6760429373103225,0.523421560876139,0.44616977225672877,0.7035189803269604,0.5671052631578948,0.3677474402730375,0.202964524036865
1_Baseline_Raw,8,18,0.6551848913437743,0.4966194131889624,0.42879663688912245,0.6988085342200056,0.5581395348837209,0.34812286689419797,0.20923153535174274
1_Baseline_Raw,9,18,0.661171340100258,0.5133572993495925,0.43636363636363634,0.7079523413688003,0.5853658536585366,0.34782608695652173,0.206324491053523
1_Baseline_Raw,10,18,0.6614773845570212,0.49569225343776524,0.43727598566308246,0.6954835134386257,0.5474358974358975,0.3640238704177323,0.20926729557178259
1_Baseline_Raw,11,18,0.6737216911349293,0.5228656531238463,0.4559207094418362,0.7110803324099723,0.5873655913978495,0.37254901960784315,0.2033651949343749
1_Baseline_Raw,12,18,0.6673020176712542,0.511637810603008,0.44491080797481636,0.7068440011083402,0.5776566757493188,0.36177474402730375,0.20522550322150315
1_Baseline_Raw,13,18,0.6782646234599974,0.5036001555020642,0.43386243386243384,0.7035189803269604,0.5710306406685237,0.34982935153583616,0.20364130894604304
1_Baseline_Raw,14,18,0.6665984234773369,0.5140845151736069,0.45215562565720296,0.7112773621501801,0.5898491083676269,0.36658141517476556,0.20503143473882268
1_Baseline_Raw,15,18,0.6566704392901588,0.49364183532798844,0.433487416538264,0.6943751731781657,0.5452196382428941,0.3597612958226769,0.21071555999290292
1_Baseline_Raw,16,18,0.6614044772250482,0.510473017242621,0.43976854287217254,0.7049861495844876,0.5741758241758241,0.35635123614663256,0.20724743728856931
1_Baseline_Raw,17,18,0.6741661193124765,0.5252522093164059,0.444913020558777,0.7082294264339152,0.5820689655172414,0.36006825938566556,0.20277118117815526
1_Baseline_Raw,18,18,0.6661867105670403,0.5002353165643438,0.4206054168879448,0.6977001939595456,0.5569620253164557,0.3378839590443686,0.20643649358147595
1_Baseline_Raw,19,18,0.6592451323357928,0.5007135652585909,0.4276006272869838,0.6965918536990856,0.5527027027027027,0.34867860187553285,0.20835969213718028
1_Baseline_Raw,20,18,0.6621449429346951,0.5073467167449696,0.4455799693408278,0.6993627043502355,0.5561224489795918,0.37169650468883203,0.20763418465629602
1_Baseline_Raw,21,18,0.6713857582782626,0.5109156873853525,0.448024948024948,0.7058171745152355,0.5739014647137151,0.3674339300937766,0.20491457503732094
