Feature,F_Score,P_Value,Log_P_Value
Position_Knees_Encoded,349.7320196140918,2.607707098099263e-77,10.0
Residence_Level,148.78568352014838,4.35151080180266e-34,10.0
Heart_Disease,133.77161833450273,7.8736730046529795e-31,10.0
Sex_Numeric,118.34475871061476,1.773588620713569e-27,10.0
BioAge_60_Plus,104.40934963808775,1.91820088129337e-24,9.999999999999991
BioAge_x_Comorbidity,92.9225094216129,6.142522316567436e-22,9.999999999997332
Comorbidity_Count,73.41197420943298,1.13589749714368e-17,9.9999999506686
Comorbidity_Risk_Score,73.4119742094032,1.1358974971607573e-17,9.9999999506686
BMI_x_BioAge,50.711468091388745,1.1102044138911138e-12,9.995205011599863
BioAge_Over_67,46.35808926665307,1.0160089117441964e-11,9.957975721414916
Has_Multiple_Comorbidities,41.12776160911069,1.4613717648257944e-10,9.608822785639454
Biological_Age_Squared,40.06957113962382,2.508568047714433e-10,9.45487009603119
Biological_Age,39.69890959672026,3.031514785583575e-10,9.394531743086361
Hypertension,39.39259339741003,3.54513138434383e-10,9.342453558279015
Biological_Age_Cubed,38.48276457126807,5.644229418161171e-10,9.177555380236104
Log_Biological_Age,37.49164615651256,9.370438569547202e-10,8.984202876753994
BMI_Category,32.8885394144701,9.915790947863483e-09,7.99931474874395
Sex_x_BMI,28.09480267874275,1.1687417669055075e-07,6.931910002857381
Marital_Level,27.287482989797446,1.7729128584245698e-07,6.751067718233091
Metabolic_Risk_Score,25.390992558372012,4.7262192416134495e-07,6.325394255278023
BioAge_70_Plus,24.5993713287246,7.121615827754303e-07,6.147360479547871
Education_Level,18.185085177749592,2.014618219345279e-05,4.695805087083209
Residence_x_BMI,17.7993446039151,2.466661571081613e-05,4.607888671492106
MET_x_BioAge,15.67589184526231,7.546461980117132e-05,4.122256036141343
MET_x_BMI,15.184436704412057,9.785579476474779e-05,4.009413007648368
MET,14.794609510717217,0.00012028979131543699,3.9197708675095737
High_Metabolic_Risk,5.190112972105978,0.022727376764509026,1.6434506865367546
BMI_Squared,4.991495089542907,0.0254843906688567,1.5937257442171728
BMI,4.596001066354359,0.03205994661197296,1.4940372038382472
Log_BMI,3.561944972537422,0.05913446620890282,1.2281593183616497
BMI_Obese,2.4532312803194087,0.11730074820973975,0.9306992173324323
Diabetes,2.0083784838292327,0.1564497047500184,0.8056252518346895
Education_x_BioAge,1.454048757231993,0.22789521604644958,0.6422647911996374
Dyslipidemia,1.305253375632622,0.2532710183336588,0.5964145032787143
Cancer,0.32097899941399366,0.571026941923482,0.24334340051755995
Sex_x_BioAge,0.14503602454069026,0.7033294613624747,0.15284119023255321
Smoke_x_Drink,,,
Smoke_x_BMI,,,
