feature_set,n_features,roc_auc_mean,roc_auc_std
raw17,17,0.8936907865895789,0.008053091810235705
raw17_plus_PhenoAge_Adapted,18,0.8683346343898276,0.010625186160606316
raw17_plus_KDM_orig,18,0.8652103629370189,0.01036437424797819
raw17_plus_KDM_log,18,0.8625645293254519,0.008021421998144939
raw17_plus_PhenoAge_Accel,18,0.8546862835899642,0.010934737636581465
raw17_plus_Pheno_quartile,19,0.8529492844790347,0.010610679192445707
raw17_plus_KDM_quartile,19,0.8421820499779922,0.009226649298878778
raw17_plus_KDM_PhenoAge_Adapted,19,0.8350809387199972,0.011273174981376779
raw17_plus_aging_accel,19,0.8059355802907895,0.015537194127383741
raw17_plus_BIR,19,0.7948746522704426,0.011042847163506545
raw17_plus_biomarkers,25,0.7268903887205429,0.010604553164574466
raw17_plus_Pheno_biomarkers,26,0.7207864911698744,0.008300307205192793
raw17_plus_KDM_biomarkers,26,0.7177647205895014,0.009113988143990951
raw17_all,35,0.6865815214719396,0.011347551116483287
