feature,lasso_coef,abs_coef
Gender,0.41996966594461294,0.41996966594461294
Residence,-0.3284488898010923,0.3284488898010923
CVD,0.21519398730814146,0.21519398730814146
Education,-0.1351408958153624,0.1351408958153624
PhenoAge_Adapted,0.13059592250794336,0.13059592250794336
Drink,0.10282230897048947,0.10282230897048947
Dyslipidemia,0.088244303399978,0.088244303399978
Smoke,0.08179325927563653,0.08179325927563653
sbp.mean,-0.08128713127952764,0.08128713127952764
TC_mg.d L,-0.07147429689312054,0.07147429689312054
Cancer,0.06139412241545256,0.06139412241545256
Hypertension,0.038571567175542144,0.038571567175542144
creatinine_mg.d L,-0.028263002209454356,0.028263002209454356
Hb A1c,-0.026334273033551354,0.026334273033551354
Time,-0.02546866541951227,0.02546866541951227
Age_New,0.01698290696058342,0.01698290696058342
crp_mg.L,0.016801289474468385,0.016801289474468385
bun_mg.d L,0.014884653618426119,0.014884653618426119
TG_mg.d L,0.014016646311012848,0.014016646311012848
BMI_New,0.01369792213397233,0.01369792213397233
plt_10.9.L,-0.011236756679776095,0.011236756679776095
Diabetes,0.0,0.0
wave,0.0,0.0
Marital,0.0,0.0
Biological Age,0.0,0.0
BMI,0.0,0.0
BA_KDM_log,0.0,0.0
PhenoAge_Adapted_Accel,0.0,0.0
