feature_set,model,n_features,roc_auc_mean,roc_auc_std,f1_mean,f1_std
all_raw17,RandomForest,17,0.8936907865895789,0.008053091810235705,0.7577977218754431,0.02478579670631112
all_plus_PhenoAge,RandomForest,18,0.8683346343898276,0.010625186160606316,0.49137621538798065,0.025650865094896735
all_plus_KDM,RandomForest,18,0.8625645293254519,0.008021421998144939,0.4449028901846227,0.023795884725699778
paper_11,RandomForest,11,0.8459341793760249,0.014744771232217783,0.7039297968024957,0.021613981757427042
all_plus_KDM_PhenoAge,RandomForest,19,0.8340900590016637,0.010647557041844037,0.29524630043611233,0.0197690427591423
all_raw17,XGBoost_scaled,17,0.8327075066168904,0.017436743781411003,0.5519863813008193,0.021839398058840543
all_raw17,XGBoost,17,0.804805503835419,0.017733305711561967,0.3139104023720029,0.02877844077048601
paper_11,XGBoost_scaled,11,0.7917848907766191,0.015175482698678243,0.4365323257787074,0.012392159491211913
all_plus_PhenoAge,XGBoost_scaled,18,0.7782026573161804,0.0139615126016833,0.4437291722169293,0.01763955902015702
all_raw17,LightGBM,17,0.7756628859628761,0.01891398860528799,0.13418613778777894,0.030243618037090476
all_plus_KDM,XGBoost_scaled,18,0.7717906419628934,0.02180997215622882,0.44070577096640773,0.03216190948966419
all_plus_PhenoAge,XGBoost,18,0.765086021867213,0.016565565798342702,0.23782204446327712,0.03147385573608366
paper_11,XGBoost,11,0.7616086284895875,0.014504913912854973,0.20801903060056978,0.02328141360193352
all_plus_KDM,XGBoost,18,0.7572545759909579,0.024119007459891758,0.2216430117373017,0.018228329035072495
all_plus_PhenoAge,LightGBM,18,0.7488089018232059,0.01783888454336188,0.10986165955603747,0.026341760726750076
all_plus_KDM_PhenoAge,XGBoost_scaled,19,0.7445562659941739,0.017991165902982817,0.3973923392879664,0.03051589963683892
all_plus_KDM,LightGBM,18,0.7420704851956194,0.01884016497897435,0.11199029279547262,0.026755777855276223
paper_11,LightGBM,11,0.7403482547222976,0.015186559709229986,0.10347279631052093,0.023734821535447658
all_plus_KDM_PhenoAge,XGBoost,19,0.7333080727669504,0.020618336988296862,0.19811185323555575,0.0318863815037413
all_plus_KDM_PhenoAge,LightGBM,19,0.7312614483879667,0.016930485007771223,0.09915100832035213,0.019667300418876304
all_plus_biomarkers,RandomForest,25,0.7268903887205429,0.010604553164574466,0.028273654050281944,0.007602584463827228
all_plus_KDM_biomarkers,RandomForest,26,0.7177647205895014,0.009113988143990951,0.026712852353761554,0.010512364392019594
all_raw17,CatBoost,17,0.7112842871882674,0.01318983450434024,0.05984041946989553,0.01930663305075946
all_plus_PhenoAge,CatBoost,18,0.7002557969803989,0.013158808637207987,0.04578104711263242,0.019699664563781617
all_plus_KDM,CatBoost,18,0.6991029917963861,0.012289605767920597,0.04954617728540833,0.01784237757837012
paper_11,CatBoost,11,0.6985876822372563,0.011801753723994527,0.0604143870285752,0.019388499157421715
all_plus_KDM_PhenoAge,CatBoost,19,0.6929417032052729,0.012237511547173955,0.03430560782001479,0.010555621063507273
all_plus_biomarkers,LightGBM,25,0.6884379045915117,0.01069702350191777,0.052399150640094816,0.014805533444278086
all_plus_KDM_biomarkers,LightGBM,26,0.6861360095599731,0.010745472461706198,0.05401379538453493,0.012157136643999658
paper_11_Pheno,CatBoost,11,0.6763569886462366,0.008980044114269534,0.03789775057853489,0.011180185270744172
all_plus_biomarkers,XGBoost,25,0.674164265262944,0.008424928792571385,0.11148999120824461,0.0205617560456922
all_plus_biomarkers,CatBoost,25,0.6690295382143522,0.016085452565450773,0.045242688947261064,0.01319376141491835
lasso_selected,RandomForest,21,0.66791500373425,0.00816088439069217,0.020740046023930866,0.00862431291424688
paper_11_KDM,CatBoost,11,0.6671946544805054,0.011069321977343902,0.04084138504330143,0.016758519090661964
all_plus_KDM_biomarkers,CatBoost,26,0.6668295526429345,0.014303499721167677,0.046718557296332765,0.015688305407158057
all_plus_KDM_biomarkers,XGBoost,26,0.6651979024863697,0.012096332459679554,0.10093914160715749,0.023674925197745878
all_plus_biomarkers,XGBoost_scaled,25,0.6594717244085325,0.0145408233655536,0.25585027454149145,0.015505806916449658
paper_11_Pheno,LightGBM,11,0.6571047081404845,0.012156438033551813,0.03889412855465184,0.01496765545054054
all_plus_KDM_biomarkers,XGBoost_scaled,26,0.6562865296900464,0.015258846181055758,0.2536130270484559,0.02240366578323848
lasso_selected,LightGBM,21,0.6547042063754712,0.007237370451408965,0.03742902993972039,0.008875861673652228
lasso_selected,CatBoost,21,0.6482535284503702,0.01068948516787032,0.0452382498273016,0.015423579728616667
paper_11_KDM,LightGBM,11,0.647870924693126,0.012403456193187373,0.05050902920051483,0.013466580634011722
paper_11_Pheno,XGBoost,11,0.6422251124595821,0.010022143351156728,0.08519966157226774,0.0243735255234579
paper_11_Pheno,RandomForest,11,0.6313704050847965,0.006616472466569419,0.23747770261029327,0.02179744763565085
lasso_selected,XGBoost,21,0.6298070487803862,0.011279942251088363,0.0771818807609274,0.015712747511641104
paper_11_KDM,XGBoost,11,0.6290987948852523,0.012523018269327465,0.09021599935125221,0.019311836706117396
paper_11_Pheno,XGBoost_scaled,11,0.6270571748056077,0.010457572356738307,0.2623419655912397,0.009481170621361746
lasso_selected,XGBoost_scaled,21,0.6171842401287019,0.013381807960565732,0.21509893164471017,0.016639764675312207
paper_11_KDM,XGBoost_scaled,11,0.6166499248593522,0.010664122664298253,0.25745328507706633,0.013948098098401853
paper_11_KDM,RandomForest,11,0.6112848998159086,0.007725655772525512,0.22126137720078828,0.013854199605467524
