feature,shap_mean
Gender,0.032447428085972216
Residence,0.030649136339257144
BMI,0.027569826348425034
Biological Age,0.02655602071513878
Education,0.021826191443990287
CVD,0.01964950131443134
Age_New,0.016956241264230964
Drink,0.014285407104737299
Hypertension,0.010916103915789082
BMI_New,0.008834257035762178
Smoke,0.008496277426030176
Dyslipidemia,0.008243347528351307
Marital,0.007622170136841363
Diabetes,0.002662222648869643
Cancer,0.0013555560271365458
Time,0.0005004041604553184
wave,0.00041087324429919195
