feature,shap_mean
Gender,0.031000923477023518
Residence,0.028604464805276543
BMI,0.019944611067042255
Biological Age,0.0192267128678159
Education,0.018628066046972494
CVD,0.01861003102557915
crp_mg.L,0.01596685305124257
Age_New,0.013236143264158706
Drink,0.011440932902043332
Hypertension,0.00877025232860809
Dyslipidemia,0.007741278263846797
BMI_New,0.007513277127225147
Smoke,0.006113463860817515
Marital,0.0057016947270022095
Diabetes,0.0020141013098477507
Cancer,0.001341862825129469
wave,0.0004997504858990457
Time,0.00041764453545569
