feature,shap_mean
Gender,0.030628853812784254
Residence,0.028595985809197203
BMI,0.020364287945216327
Education,0.01957877615003389
CVD,0.018439128199368892
Biological Age,0.017863547947780275
PhenoAge_Adapted,0.015871703967827555
Age_New,0.013990117565097934
Drink,0.012237195731554846
Hypertension,0.009187736945776967
BMI_New,0.007435148553887592
Dyslipidemia,0.007315271858318929
Smoke,0.00621432035463878
Marital,0.0059558164204675705
Diabetes,0.0020552504577686613
Cancer,0.0013308282294349544
Time,0.0004311877115380956
wave,0.00037714491708572533
