subgroup,n,koa_rate,auc_mean
All,12329,13.31819287857896,0.8572576900056816
Male,5886,9.395174991505268,0.816980421686747
Female,6443,16.902064255781468,0.8853677531885399
Urban,7954,15.841086245914004,0.8897119048935872
Rural,4375,8.731428571428571,0.8534441460405022
CVD_yes,1304,23.236196319018404,0.8985798254901245
CVD_no,11025,12.145124716553287,0.8536434311580432
Hypertension_yes,3142,15.754296626352643,0.8779520903419944
Hypertension_no,9187,12.485033199085665,0.8567750749332588
Older (Age_New=2),3357,15.579386356866248,0.8661971303898748
Younger (Age_New=1),8972,12.472135532768613,0.8786115995634247
