name,auc_mean,auc_std,f1_mean,f1_std,acc_mean,threshold_mean,feature_set,model,n_features,calibration,threshold
A_raw17_int|RF_youden,0.8966834070698482,0.007827518080372322,0.6701337198389513,0.05484062196615239,0.8999377607126974,0.24600000000000008,A_raw17_int,RF,17,none,youden(0.25)
A_raw17_int|RF,0.8966834070698482,0.007827518080372322,0.7596499326985257,0.02505172901620386,0.945359148105924,0.5,A_raw17_int,RF,17,none,default
B_raw17_ohe|RF_youden,0.8954179894299285,0.007865005313248687,0.6593465251873095,0.05266113932686587,0.8939906460109005,0.23266666666666672,B_raw17_ohe,RF,19,none,youden(0.23)
B_raw17_ohe|RF,0.8954179894299285,0.007865005313248687,0.7580011717772438,0.02405915563447959,0.9448724971992319,0.5,B_raw17_ohe,RF,19,none,default
B_raw17_ohe|RF_cal,0.8810114411947703,0.011976786341039105,0.6369039300651249,0.04743051711277278,0.8854446051150274,0.16400000000000003,B_raw17_ohe,RF_calibrated,19,isotonic,youden(0.16)
E_ohe_KDM|RF,0.8699491404954057,0.009846418939308512,0.4468688623614491,0.02287650703196916,0.9022900109508244,0.5,E_ohe_KDM,RF,20,none,default
E_ohe_KDM|RF_youden,0.8699491404954057,0.009846418939308512,0.5735621980792346,0.029597351957302186,0.8501640320529588,0.20200000000000004,E_ohe_KDM,RF,20,none,youden(0.20)
B_raw17_ohe|LightGBM_spw_youden,0.8012164341038298,0.01825676043405794,0.44973102671629356,0.024275382713934354,0.7665147589365472,0.4840000000000001,B_raw17_ohe,LightGBM_spw,19,none,youden(0.48)
B_raw17_ohe|LightGBM_spw,0.8012164341038298,0.01825676043405794,0.4541449397248713,0.016951817769711643,0.7829777468500614,0.5,B_raw17_ohe,LightGBM_spw,19,none,default
A_raw17_int|LightGBM_spw_youden,0.7984160516935705,0.018833342578227004,0.44527329412930255,0.027505000670890605,0.7622729129686385,0.48266666666666674,A_raw17_int,LightGBM_spw,17,none,youden(0.48)
A_raw17_int|LightGBM_spw,0.7984160516935705,0.018833342578227004,0.44474899200144835,0.016513427314543794,0.7789494776012595,0.5,A_raw17_int,LightGBM_spw,17,none,default
A_raw17_int|XGBoost_spw_youden,0.7654379180578814,0.014556986683417646,0.39074752319056644,0.02189028048844342,0.7047879066048768,0.468,A_raw17_int,XGBoost_spw,17,none,youden(0.47)
A_raw17_int|XGBoost_spw,0.7654379180578814,0.014556986683417646,0.3963373102814472,0.018840245300433628,0.7449913385943353,0.5,A_raw17_int,XGBoost_spw,17,none,default
B_raw17_ohe|XGBoost_spw,0.7651310292797473,0.014047821777264272,0.3949338931946978,0.01628531919402635,0.7449369847779703,0.5,B_raw17_ohe,XGBoost_spw,19,none,default
