roc_auc,pr_auc,f1_macro_0.5,f1_binary_0.5,accuracy_0.5,precision_0.5,recall_0.5,threshold_0.5,f1_macro_youden,f1_binary_youden,accuracy_youden,precision_youden,recall_youden,threshold_youden,f1_macro_f1_optimal,f1_binary_f1_optimal,accuracy_f1_optimal,precision_f1_optimal,recall_f1_optimal,threshold_f1_optimal,feature_set,model,split,n_features,f1_macro,f1_binary,accuracy,threshold_method,roc_auc_std,f1_macro_std
0.8913624652382671,0.7627877364319962,,,,,,,,,,,,,,,,,,,paper_13_cont_BMI,RF,5fold_CV,14,0.8618924234776358,0.7553666785883143,0.9440613355838181,0.5,0.01068589272310422,0.01312067835490544
0.8913624652382671,0.7627877364319962,,,,,,,,,,,,,,,,,,,paper_13_cont_BMI,RF,5fold_CV,14,0.8691820134360525,0.7676186842529964,0.9480356897072669,f1_optimal,0.01068589272310422,0.01328173103204772
0.8621774715005713,0.6981858181831636,0.8260715426572048,0.6904176904176904,0.9318734793187348,0.8753894080996885,0.5699797160243407,0.5,0.7910860336650142,0.6372950819672131,0.9042984590429846,0.6438923395445134,0.6308316430020284,0.302,0.8313586140313237,0.6987341772151898,0.9356582860232495,0.9292929292929293,0.5598377281947262,0.586,paper_13_cont_BMI,RF,70/30,14,,,,,,
0.8602619816409014,0.7314102693905437,,,,,,,,,,,,,,,,,,,paper_13_contBMI,XGB_optuna,5fold_CV,14,0.841739971674018,0.7226538923571669,0.9313543872117181,0.5,0.017316749058239593,0.012946888162966599
0.8602619816409014,0.7314102693905437,,,,,,,,,,,,,,,,,,,paper_13_contBMI,XGB_optuna,5fold_CV,14,0.8597850225379967,0.7517467595465296,0.9430339980050527,f1_optimal,0.017316749058239593,0.013969020233559004
0.8543802961597151,0.6030391726051401,,,,,,,,,,,,,,,,,,,paper_13,RF,5fold_CV,14,0.8324891528005043,0.7076296954954064,0.9255683817840137,0.5,0.016566447852412708,0.013029469176577544
0.8543802961597151,0.6030391726051401,,,,,,,,,,,,,,,,,,,paper_13,RF,5fold_CV,14,0.839441960762499,0.7189378108603035,0.9298939299969786,f1_optimal,0.016566447852412708,0.013903521434041336
0.8497181624970248,0.5836809237974647,,,,,,,,,,,,,,,,,,,paper_11,RF,5fold_CV,12,0.8360844792555981,0.7135226813153283,0.9277311833086842,f1_optimal,0.013821845309832576,0.012387972522888988
0.8497181624970248,0.5836809237974647,,,,,,,,,,,,,,,,,,,paper_11,RF,5fold_CV,12,0.8300715464790118,0.7039930892413211,0.9236216794517679,0.5,0.013821845309832576,0.012288237303774936
0.8292362570687061,0.652642541415181,0.7886087952602393,0.6295081967213115,0.9083536090835361,0.6824644549763034,0.5841784989858012,0.5,0.7794551153841329,0.619188921859545,0.8959178156258448,0.6042471042471043,0.6348884381338742,0.3358049690723419,0.8180983391748053,0.6750948166877371,0.9305217626385509,0.8959731543624161,0.5415821501014199,0.7962115406990051,paper_13_contBMI,XGB_optuna,70/30,14,,,,,,
0.8182822142559779,0.5118522839044454,0.787854971674487,0.6301369863013698,0.9051094890510949,0.6557017543859649,0.6064908722109533,0.5,0.7962679008489774,0.643702906350915,0.9105163557718302,0.6857798165137615,0.6064908722109533,0.576,0.7976092731022308,0.6457204767063922,0.9115977291159773,0.6930232558139535,0.6044624746450304,0.582,paper_11,RF,70/30,12,,,,,,
