target,model,feature,importance
Biological Age,RandomForest,Gender,0.03204792094388158
Biological Age,RandomForest,Age_New,0.6463841282072618
Biological Age,RandomForest,Marital,0.008595582426274931
Biological Age,RandomForest,Education,0.028030638154858435
Biological Age,RandomForest,Residence,0.01317379088245146
Biological Age,RandomForest,Hypertension,0.044210687836573496
Biological Age,RandomForest,Dyslipidemia,0.004343482898871333
Biological Age,RandomForest,Diabetes,0.00979683722749103
Biological Age,RandomForest,Cancer,0.0003654645319569519
Biological Age,RandomForest,CVD,0.00520641677958219
Biological Age,RandomForest,Smoke,0.008824966000119908
Biological Age,RandomForest,Drink,0.011157425733104995
Biological Age,RandomForest,BMI,0.18690405887196887
Biological Age,RandomForest,BMI_New,0.0009585995046028626
Biological Age,XGBoost,Gender,0.03416997566819191
Biological Age,XGBoost,Age_New,0.7653237581253052
Biological Age,XGBoost,Marital,0.016719898208975792
Biological Age,XGBoost,Education,0.02240384928882122
Biological Age,XGBoost,Residence,0.010405944660305977
Biological Age,XGBoost,Hypertension,0.05391773208975792
Biological Age,XGBoost,Dyslipidemia,0.009100163355469704
Biological Age,XGBoost,Diabetes,0.019142478704452515
Biological Age,XGBoost,Cancer,0.010509399697184563
Biological Age,XGBoost,CVD,0.010195964947342873
Biological Age,XGBoost,Smoke,0.01598615013062954
Biological Age,XGBoost,Drink,0.010079402476549149
Biological Age,XGBoost,BMI,0.014741510152816772
Biological Age,XGBoost,BMI_New,0.007303815335035324
Biological Age,LightGBM,Gender,0.053577893085555675
Biological Age,LightGBM,Age_New,0.03837335585857366
Biological Age,LightGBM,Marital,0.03571859539037045
Biological Age,LightGBM,Education,0.06817907566067333
Biological Age,LightGBM,Residence,0.06890310124291056
Biological Age,LightGBM,Hypertension,0.04247616749125135
Biological Age,LightGBM,Dyslipidemia,0.03451188608664172
Biological Age,LightGBM,Diabetes,0.029685048871726794
Biological Age,LightGBM,Cancer,0.011946422106914443
Biological Age,LightGBM,CVD,0.03258115120067575
Biological Age,LightGBM,Smoke,0.0552672861107759
Biological Age,LightGBM,Drink,0.06009412332569083
Biological Age,LightGBM,BMI,0.44322432725956307
Biological Age,LightGBM,BMI_New,0.025461566308676235
