config,n_features,model,auc_mean,auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,f1_mean,f1_std
raw17 (Sheet1 BA),17,RF,0.8959539432536622,0.007972387508524954,0.7757918065702498,0.023175233326709375,0.05717005963044668,0.0024854657772823896,0.7574345768753962,0.023951327947131597
raw17 (Sheet1 BA),17,XGB,0.789580373670821,0.0172580725243298,0.45650142229673646,0.030909201844641025,0.09438679069280624,0.0021224971260342773,0.21818305142227867,0.02986488899902621
raw17 (Sheet1 BA),17,LGBM,0.7819896907565417,0.017729028765351672,0.4318399172261802,0.03393650231028395,0.09612420344455311,0.002550992995471349,0.19980287826867685,0.030735289133862132
raw16_only (no BA),16,RF,0.8593052465900041,0.011361432601938703,0.577997658861006,0.03689035059838619,0.07063705231994283,0.0038726349042186906,0.6994514284684674,0.021119111712025476
raw16_only (no BA),16,XGB,0.7509994426627477,0.012346073112925657,0.36992578292869055,0.016230762728742132,0.10073689917723337,0.0013197408006248444,0.17650244115775082,0.020562402504782085
raw16_only (no BA),16,LGBM,0.7460126354932267,0.015043880286561001,0.3574468834820131,0.01834763623593428,0.1017582852014221,0.0015025635711273595,0.17023476509954522,0.016512887302744906
raw16+KDM_log,17,RF,0.8286125082804354,0.01065060202259189,0.5134040099223377,0.025982909086510173,0.08716532866346752,0.0019559923986976788,0.37231723358972624,0.018384812956672075
raw16+KDM_log,17,XGB,0.713492871076025,0.01442522080591401,0.3108139652494891,0.018456351541067985,0.10581388821204503,0.0016076686185161125,0.12669150706011678,0.018575921268067702
raw16+KDM_log,17,LGBM,0.7094754356949744,0.0175901897344822,0.3084072012972101,0.021080612327038745,0.10615986915167398,0.0018534544972576134,0.13264948619389058,0.021058041400137412
raw16+KDM_orig,17,RF,0.8309752380893225,0.010046253854998221,0.5254006457577619,0.028419530694805597,0.08605985263875385,0.00184128188564022,0.38594897945666695,0.020212236083171655
raw16+KDM_orig,17,XGB,0.7198464562249235,0.012298516316099916,0.32222807034221573,0.020615913757923567,0.10484693795442582,0.001578103242979653,0.13004246812623924,0.024941416153517467
raw16+KDM_orig,17,LGBM,0.713509186695758,0.013462024375800503,0.3084080658975375,0.021159465094935923,0.1060177882076598,0.0016528024933407826,0.12367778131918201,0.024667206099035742
raw16+PhenoAge_Adapted,17,RF,0.8407373678154394,0.010688094842588043,0.5610755711043133,0.018591828026818476,0.08312505958712597,0.0016314291529820715,0.42033937860729365,0.02921872665801892
raw16+PhenoAge_Adapted,17,XGB,0.7194242658857118,0.014155044488615287,0.323039253665212,0.016665182937902142,0.10475690364837646,0.0013420078955116638,0.12898224130502173,0.020654799854932914
raw16+PhenoAge_Adapted,17,LGBM,0.7145770459361859,0.014732228840776166,0.3131659242229165,0.015208094758151085,0.10560919179050196,0.001403343852552546,0.12653030655775546,0.020950300651031983
raw16+PhenoAge_Accel,17,RF,0.7976516855362704,0.011263644221926583,0.44379642258440166,0.020707739530476103,0.09363287492864417,0.0014611628486881439,0.3029974494081402,0.015264375982823158
raw16+PhenoAge_Accel,17,XGB,0.7049205268105944,0.015027029301642387,0.3042594462882121,0.018107818350155028,0.10642267614603043,0.001625678908917305,0.11748596502366003,0.01285333232914403
raw16+PhenoAge_Accel,17,LGBM,0.6970470865859577,0.01650728511479531,0.2915117713498399,0.013466598002283602,0.10760130279264786,0.0014977161984783922,0.11458266496912242,0.011330546257295699
