bin,n,mean_pred,observed_rate,abs_gap
"(0.0473, 0.057]",1160,0.05364360630982683,0.041379310344827586,0.012264295964999242
"(0.057, 0.0599]",828,0.05844645571347467,0.04710144927536232,0.01134500643811235
"(0.0599, 0.0668]",972,0.06308366442606468,0.04835390946502058,0.014729754961044103
"(0.0668, 0.0739]",985,0.06998133717185964,0.04365482233502538,0.026326514836834264
"(0.0739, 0.0873]",989,0.07970672588844306,0.04853387259858443,0.03117285328985863
"(0.0873, 0.103]",985,0.09443752441789796,0.07106598984771574,0.02337153457018222
"(0.103, 0.127]",987,0.1146562753426997,0.1094224924012158,0.005233782941483897
"(0.127, 0.163]",1000,0.14375894853805113,0.111,0.03275894853805113
"(0.163, 0.316]",971,0.22548064297540657,0.1431513903192585,0.08232925265614807
"(0.316, 0.66]",986,0.434536176550233,0.6703853955375254,0.23584921898729239
