feature,cohort,n,koa_prevalence,auroc,or_per_unit,notes
Biological Age (Sheet1),CHARLS,12329,0.133,0.5356,1.1178,Pre-computed in CHARLS; formula undocumented
BA_KDM_log,CHARLS,12329,0.133,0.5158,1.0547,KDM from 8 log-transformed biomarkers
BA_KDM_orig,CHARLS,12329,0.133,0.5187,1.0624,KDM from 8 original-scale biomarkers
PhenoAge_Adapted,CHARLS,12329,0.133,0.5297,1.0997,Adapted PhenoAge surrogate (non-canonical)
PhenoAge_Accel,CHARLS,12329,0.133,0.5038,1.0238,PhenoAge acceleration (BA - chronological age)
BIR_log,CHARLS,12329,0.133,0.5347,0.8873,Biological Illness Risk (KDM_log - age)
BIR_orig,CHARLS,12329,0.133,0.5299,0.8989,Biological Illness Risk (KDM_orig - age)
ML_BA (predicted),ELSA,8416,0.249,0.5557,1.3468,ML-predicted from demographics (step_16/17)
ML_KDM_BA (predicted),ELSA,8416,0.249,0.5890,1.4037,ML-predicted from demographics (step_16/17)
Age_New (no BA),ELSA,8416,0.249,0.5526,N/A,Age group variable only (<60 vs >=60)
ML_BA (predicted),HRS,20605,0.339,0.6289,1.6457,ML-predicted from demographics (step_16/17)
ML_KDM_BA (predicted),HRS,20605,0.339,0.6290,1.6396,ML-predicted from demographics (step_16/17)
Age_New (no BA),HRS,20605,0.339,0.5988,N/A,Age group variable only (<60 vs >=60)
